dst_name,prb_id,timestamp,dst_addr,af,chegou_ao_destino,num_saltos,latencia_ms
dazn,1001398,1782348191,18.65.48.5,4,True,9.0,7.629
dazn,1003469,1782348211,3.160.188.123,4,True,,39.641
dazn,1009606,1782348197,18.65.238.61,4,True,10.0,17.613
dazn,1009618,1782348190,13.249.96.90,4,True,11.0,25.617
dazn,1009825,1782348202,3.168.102.109,4,True,,22.555
dazn,1010221,1782348211,18.173.154.47,4,True,,12.034
dazn,1014250,1782348203,13.35.36.46,4,True,,2.877
dazn,1015512,1782348180,3.162.79.102,4,True,9.0,0.967
dazn,1015514,1782348209,3.174.59.109,4,True,13.0,9.236
dazn,1015709,1782348201,13.225.177.86,4,True,,14.89
dazn,1015907,1782348211,143.204.4.55,4,True,6.0,0.154
dazn,1016273,1782348210,13.35.36.55,4,True,9.0,0.926
dazn,12383,1782348201,99.84.118.102,4,True,,31.267
dazn,28296,1782348181,3.174.98.39,4,True,8.0,15.197
dazn,32670,1782348198,13.32.16.18,4,True,14.0,30.493
dazn,33355,1782348185,3.175.64.38,4,True,9.0,2.572
dazn,60496,1782348190,3.174.26.5,4,True,11.0,1.378
dazn,61129,1782348205,3.174.180.98,4,True,15.0,66.107
dazn,64976,1782348185,108.139.200.56,4,True,9.0,10.997
dazn,7367,1782348195,18.164.32.36,4,True,7.0,8.74
dazn,1001398,1782351790,18.65.48.16,4,True,9.0,7.53
dazn,1003469,1782351804,3.160.188.91,4,True,,39.578
dazn,1009606,1782351797,18.65.238.5,4,True,10.0,22.303
dazn,1009618,1782351790,13.249.96.90,4,True,11.0,25.614
dazn,1009825,1782351803,3.168.102.54,4,True,,22.672
dazn,1010221,1782351809,18.172.112.112,4,True,,21.685
dazn,1014250,1782351803,13.35.36.46,4,True,,2.944
dazn,1015512,1782351783,3.162.79.95,4,True,9.0,0.917
dazn,1015514,1782351808,13.32.16.102,4,True,,3.177
dazn,1015709,1782351801,18.65.148.16,4,True,,5.916
dazn,1015907,1782351810,143.204.4.56,4,True,6.0,0.289
dazn,1016273,1782351810,13.35.36.55,4,True,9.0,0.93
dazn,12383,1782351798,99.84.118.93,4,True,,31.301
dazn,28296,1782351782,18.172.112.79,4,True,,8.434
dazn,32670,1782351797,13.32.16.16,4,True,14.0,32.377
dazn,33355,1782351786,3.175.64.120,4,True,9.0,1.478
dazn,60496,1782351791,3.174.59.116,4,True,12.0,49.555
dazn,61129,1782351811,3.174.180.57,4,True,15.0,64.199
dazn,64976,1782351786,108.139.200.81,4,True,9.0,11.07
dazn,7367,1782351794,18.164.32.36,4,True,7.0,8.662
dazn,1001398,1782355390,18.65.48.5,4,True,9.0,7.686
dazn,1003469,1782355411,3.160.188.123,4,True,,39.607
dazn,1009606,1782355397,18.65.238.2,4,True,10.0,32.183
dazn,1009618,1782355389,13.249.96.90,4,True,11.0,25.455
dazn,1009825,1782355403,13.33.82.86,4,True,12.0,18.758
dazn,1010221,1782355409,18.172.112.112,4,True,,24.328
dazn,1014250,1782355404,13.35.36.55,4,True,,2.265
dazn,1015512,1782355380,3.162.79.5,4,True,9.0,1.05
dazn,1015514,1782355406,13.32.16.16,4,True,,2.872
dazn,1015709,1782355401,13.225.177.114,4,True,,18.211
dazn,1015907,1782355411,143.204.4.34,4,True,6.0,0.205
dazn,1016273,1782355407,13.35.36.126,4,True,9.0,0.923
dazn,12383,1782355400,99.84.118.23,4,True,,31.368
dazn,28296,1782355381,18.172.112.79,4,True,,8.414
dazn,32670,1782355397,13.32.16.102,4,True,14.0,30.529
